n_eval,value,pretrain.data,pscale,ptask,fdata,fratio,ftask,model,nparam,pdata
14520,0.521098461462686,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14520,0.55046716490606,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14540,0.545580383532912,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14540,0.573221611283682,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14540,0.52037330762157,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14540,0.595197818449747,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14980,0.555324526162918,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14980,0.528597763734104,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14980,0.628342054340202,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15000,0.652461112545439,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15000,0.596915867438448,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15000,0.627956402754018,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15000,0.668102724926024,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15460,0.493041243155236,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15460,0.592999043744968,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15460,0.566143153634883,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15480,0.643485416156867,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15480,0.531426890762165,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15480,0.615729644833094,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15480,0.587407689678012,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15920,0.568480442165954,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15920,0.609017334413477,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15920,0.577099694465899,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15940,0.715916957060975,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15940,0.669725568539099,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15940,0.680901523075812,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
15940,0.650407582430181,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
16380,0.57176405666289,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
16380,0.631858048229595,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
16380,0.615809700819725,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
16420,0.667675769393025,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
16420,0.401560118102265,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
16420,0.673669399825022,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
16420,0.709104666248813,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
16860,0.560779398014857,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
