n_eval,value,pretrain.data,pscale,ptask,fdata,fratio,ftask,model,nparam,pdata
105020,0.126240000128746,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
105020,0.126839995384216,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
105020,0.129600003361702,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
105020,0.128780007362366,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
105020,0.13086000084877,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
110020,0.105679996311665,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
110020,0.119599997997284,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
110020,0.123700000345707,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
110020,0.12601999938488,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
110020,0.126839995384216,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
110020,0.125100001692772,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
110020,0.125660002231598,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
115020,0.108819998800755,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
115020,0.124179996550083,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
115020,0.114280000329018,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
115020,0.124399997293949,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
115020,0.122639998793602,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
115020,0.124959997832775,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
115020,0.120559997856617,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
120020,0.11947999894619,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
120020,0.120279997587204,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
120020,0.115039996802807,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
120020,0.12975999712944,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
120020,0.125300005078316,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
120020,0.122780002653599,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
120020,0.130040004849434,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
125020,0.108960002660751,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
125020,0.119400002062321,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
125020,0.122179999947548,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
125020,0.124640002846718,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
125020,0.126919999718666,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
125020,0.127780005335808,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
125020,0.121840000152588,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
130020,0.109659999608994,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
130020,0.117399998009205,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
130020,0.127619996666908,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
130020,0.118739999830723,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
130020,0.125819995999336,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
130020,0.122919999063015,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
130020,0.120020002126694,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
135020,0.114339999854565,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
